Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1961","1961","ha","572000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1961","1961","kg/ha","554.2","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1961","1961","t","317000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1962","1962","ha","572000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1962","1962","kg/ha","505.2","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1962","1962","t","289000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1963","1963","ha","558000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1963","1963","kg/ha","713.3","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1963","1963","t","398000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1964","1964","ha","535000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1964","1964","kg/ha","588.8","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1964","1964","t","315000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1965","1965","ha","536000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1965","1965","kg/ha","509.3","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1965","1965","t","273000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1966","1966","ha","462000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1966","1966","kg/ha","606.1","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1966","1966","t","280000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1967","1967","ha","470000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1967","1967","kg/ha","610.6","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1967","1967","t","287000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1968","1968","ha","475000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1968","1968","kg/ha","616.8","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1968","1968","t","293000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1969","1969","ha","428000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1969","1969","kg/ha","675.2","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1969","1969","t","289000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1970","1970","ha","414000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1970","1970","kg/ha","654.6","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1970","1970","t","271000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1971","1971","ha","449000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1971","1971","kg/ha","579.1","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1971","1971","t","260000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1972","1972","ha","431000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1972","1972","kg/ha","426.9","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1972","1972","t","184000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1973","1973","ha","387000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1973","1973","kg/ha","459.9","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1973","1973","t","178000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0118","Millet","1974","1974","ha","396000","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","1974","1974","kg/ha","593.4","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0118","Millet","1974","1974","t","235000","A","Official figure",""
