-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  12.1122   Longitude 15.069 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 295.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN             MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.0,0.0,1.34,13.6,52.21,76.21,280.71,90.33,134.08,31.03,7.88,0.04,687.43
PRECTOTCORR_SUM,1982,0.27,0.03,1.37,11.27,71.67,112.22,162.96,255.31,95.75,63.47,1.2,0.0,775.52
PRECTOTCORR_SUM,1983,0.0,0.01,0.0,18.7,51.99,83.59,125.04,217.66,77.16,10.63,0.07,0.15,585.0
PRECTOTCORR_SUM,1984,0.0,0.0,5.18,22.83,49.93,28.57,148.01,87.36,40.96,19.01,0.24,0.01,402.1
PRECTOTCORR_SUM,1985,0.0,0.0,14.28,1.05,22.86,74.4,191.32,127.62,79.91,12.81,0.13,0.0,524.38
PRECTOTCORR_SUM,1986,0.0,0.0,1.76,3.6,71.5,71.83,181.4,200.82,125.26,41.56,8.91,0.03,706.67
PRECTOTCORR_SUM,1987,0.0,0.0,3.49,0.05,40.96,97.12,440.16,64.45,31.53,3.91,0.02,0.05,681.74
PRECTOTCORR_SUM,1988,0.0,0.0,0.0,6.35,55.1,39.47,212.82,273.73,130.43,62.66,0.0,0.0,780.56
PRECTOTCORR_SUM,1989,0.0,0.0,0.0,4.05,41.06,84.82,156.82,214.2,98.77,55.39,0.0,0.0,655.11
PRECTOTCORR_SUM,1990,0.01,0.0,0.0,3.02,34.03,62.2,200.68,105.43,63.5,32.56,1.3,0.25,502.98
