Year,Millet_Area_harvested,Millet_Production,Millet_Yield,Sorghum_Area_harvested,Sorghum_Production,Sorghum_Yield,Annual_Rainfall_mm,Temp_Mean_C,Temp_Max_C,Temp_Min_C,Millet_Yield_Lag1,Sorghum_Yield_Lag1,Rainfall_Category,Temp_Range_C,Rainfall_Anomaly,Rainfall_Cat_Encoded,Millet_BadYear,Sorghum_BadYear
1982,200000.0,124000.0,620.0,231000.0,156000.0,675.3,775.52,27.55,43.12,10.57,609.6,662.0,Good,32.55,215.68500000000006,2,0,1
1983,319742.0,148000.0,462.9,370751.0,197661.0,533.1,585.0,27.76,43.84,10.68,620.0,675.3,Below Normal,33.160000000000004,25.165000000000077,0,1,1
1984,267614.0,110768.0,413.9,332802.0,194229.0,583.6,402.1,28.93,42.72,12.11,462.9,533.1,Drought,30.61,-157.7349999999999,1,1,1
1985,490994.0,252245.0,513.7,450315.0,309126.0,686.5,524.38,28.23,43.3,13.42,413.9,583.6,Below Normal,29.879999999999995,-35.45499999999993,0,1,1
1986,508142.0,253021.0,497.9,470219.0,298509.0,634.8,706.67,27.76,44.61,12.01,513.7,686.5,Normal,32.6,146.83500000000004,3,1,1
1987,464043.0,217094.0,467.8,406866.0,255992.0,629.2,681.74,28.71,44.52,12.92,497.9,634.8,Normal,31.6,121.90500000000009,3,1,1
1988,578954.0,355676.0,614.3,347250.0,257884.0,742.6,780.56,28.09,44.77,13.25,467.8,629.2,Good,31.520000000000003,220.72500000000002,2,0,0
1989,524710.0,179337.0,341.8,432993.0,237010.0,547.4,655.11,27.41,43.88,9.18,614.3,742.6,Normal,34.7,95.27500000000009,3,1,1
1990,488449.0,167590.0,343.1,438850.0,280164.0,638.4,502.98,29.15,44.37,14.38,341.8,547.4,Below Normal,29.989999999999995,-56.854999999999905,0,1,1
1991,566860.0,226010.0,398.7,502460.0,285914.0,569.0,591.53,28.64,45.22,11.88,343.1,638.4,Below Normal,33.339999999999996,31.69500000000005,0,1,1
1992,567163.0,293433.0,517.4,523137.0,386934.0,739.6,542.68,27.96,43.01,9.59,398.7,569.0,Below Normal,33.42,-17.154999999999973,0,0,0
1993,509420.0,212094.0,416.3,495770.0,243350.0,490.9,481.05,28.79,43.66,11.11,517.4,739.6,Below Normal,32.55,-78.78499999999991,0,1,1
1994,648725.0,319698.0,492.8,614669.0,480720.0,782.1,746.57,27.87,45.47,11.49,416.3,490.9,Normal,33.98,186.73500000000013,3,1,0
1995,639837.0,227715.0,355.9,675215.0,437448.0,647.9,860.5,27.86,43.68,12.54,492.8,782.1,Good,31.14,300.6650000000001,2,1,1
1996,635125.0,257631.0,405.6,583988.0,352517.0,603.6,514.48,28.79,43.89,13.49,355.9,647.9,Below Normal,30.4,-45.354999999999905,0,1,1
1997,653225.0,248383.0,380.2,735464.0,426592.0,580.0,532.62,28.64,42.31,11.36,405.6,603.6,Below Normal,30.950000000000003,-27.214999999999918,0,1,1
1998,785630.0,357321.0,454.8,711735.0,513930.0,722.1,407.16,29.51,45.56,11.78,380.2,580.0,Drought,33.78,-152.6749999999999,1,1,0
1999,785709.0,361095.0,459.6,644723.0,455634.0,706.7,536.52,28.99,44.72,11.49,454.8,722.1,Below Normal,33.23,-23.31499999999994,0,1,0
2000,791753.0,258828.0,326.9,641709.0,391714.0,610.4,367.23,29.12,45.51,13.14,459.6,706.7,Drought,32.37,-192.6049999999999,1,1,1
2001,848859.0,397608.0,468.4,789447.0,497227.0,629.8,418.35,29.04,46.17,11.64,326.9,610.4,Drought,34.53,-141.4849999999999,1,1,1
2002,706935.0,357425.0,505.6,697055.0,480686.0,689.6,323.08,29.64,45.61,9.27,468.4,629.8,Drought,36.34,-236.75499999999994,1,1,1
2003,720000.0,516341.0,717.1,697766.0,564717.0,809.3,509.46,29.23,45.44,11.69,505.6,689.6,Below Normal,33.75,-50.37499999999994,0,0,0
2004,630688.0,297529.0,471.8,655087.0,449426.0,686.1,295.69,29.9,45.36,12.96,717.1,809.3,Drought,32.4,-264.1449999999999,1,1,1
2005,981952.0,578303.0,588.9,792044.0,556667.0,702.8,509.86,29.67,44.7,11.3,471.8,686.1,Below Normal,33.400000000000006,-49.97499999999991,0,0,0
2006,1008196.0,589754.0,585.0,953311.0,772608.0,810.4,358.63,29.9,43.93,10.19,588.9,702.8,Drought,33.74,-201.20499999999993,1,0,0
